time,open,high,low,close,Volume,Volume MA
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,NaN
2011-08-19,11.85,11.85,11.15,11.69,1.92657814,NaN
2011-08-20,11.7,11.7,11.7,11.7,0.08547009,NaN
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,NaN
2011-08-22,11.7,11.7,11.7,11.7,0.02863249,NaN
2011-08-24,11.5,11.5,10.5,10.5,2.35652174,NaN
2011-08-25,10,10,10,10,1.1,NaN
2011-08-30,8,8,8,8,1,NaN
2011-09-01,8,8.31,5.25,8.22,164.48,NaN
2011-09-02,8.12,8.88,8,8.88,79.76,NaN
2011-09-04,8.89,8.89,8.89,8.89,0.20022497,NaN
2011-09-06,8,8,8,8,21,NaN
2011-09-07,8.5,8.5,8.5,8.5,3,NaN
2011-09-08,7.98,7.98,7.4,7.4,6.86,NaN
2011-09-13,5.8,6,5.65,5.97,58.37138238,NaN
2011-09-14,5.58,5.72,5.52,5.53,61.14598362,NaN
2011-09-15,5.12,5.24,5,5.13,80.1407952,NaN
2011-09-16,4.82,4.87,4.8,4.85,39.9140068,NaN
2011-09-17,4.87,4.87,4.87,4.87,0.3,NaN
2011-09-18,4.87,4.92,4.81,4.92,119.8128,32.102888689000004
2011-09-19,4.9,4.9,4.9,4.9,20,33.078393276
2011-09-20,4.92,5.66,4.92,5.66,89.28071068,37.446099903000004
2011-09-21,5.7,5.79,5.66,5.66,17.62932238,38.32329251750001
2011-09-22,5.68,5.72,5.68,5.72,43.77842238,40.50794013200001
2011-09-23,5.7,5.72,5.7,5.72,20.68003681,41.54051034800001
2011-09-24,5.7,5.76,5.68,5.68,90.58706633,45.952037577500015
2011-09-25,6.05,6.05,6.05,6.05,12.22,46.50803757750002
2011-09-26,6.06,6.06,4.8,4.8,39.57846334,48.43696074450001
2011-09-27,4.85,4.92,4.85,4.92,24.3545,41.43068574450002
2011-09-28,4.9,4.91,4.82,4.82,83.0533258,41.59535203450002
2011-09-29,4.81,4.82,4.81,4.82,46.9645,43.93356578600002
2011-10-03,4.85,4.87,4.83,4.87,30.57595,44.41236328600002
2011-10-04,4.86,5.3,4.8,4.98,142.52162238,51.388444405000016
2011-10-05,4.92,6.25,4.8,4.92,113.72,56.73144440500001
2011-10-06,4.88,4.99,4.8,4.8,170.84354937,62.3550527545
2011-10-07,4.8,4.81,4.59,4.61,94.64,64.02975357350002
2011-10-08,4.57,4.57,3.99,3.99,56,62.822713813500016
2011-10-09,3.89,3.89,3.89,3.89,11,61.377013473500014
2011-10-10,3.99,4.51,3.99,4.51,132.5,67.98701347350001
2011-10-11,3.98,4.1,3.98,4.1,78.08,65.90037347350003
2011-10-12,3.95,3.99,3.93,3.93,79.523525,68.87654972350002
2011-10-13,3.93,3.97,3.93,3.97,109.621766,69.89360248950001
2011-10-14,4.05,4.05,4.05,4.05,96.97751266,73.86101200350001
2011-10-17,3.92,3.92,3.92,3.92,10.24,72.18409088450002
2011-10-20,2.22,2.29,2.22,2.24,61.972332,74.24870564400001
2011-10-21,2.22,2.27,2.22,2.27,41.46334066,71.79251936050002
2011-10-24,2.99,2.99,2.92,2.92,64.54,74.40851936050002
2011-10-25,2.66,2.72,2.66,2.72,130.29932366,78.94456237650002
2011-10-26,2.72,3,2.67,2.69,268.2689727,91.14028601150002
2011-10-28,3.07,4.36,3.07,4.2,118.37787266,92.90651335450002
2011-10-29,3.69,4.4,3.69,3.95,88.432425,94.97990960450002
2011-10-30,3.85,3.85,3.2,3.5,116.381395,99.27018185450001
2011-10-31,3.25,3.55,3.2,3.3,68.99404308,95.59380288950001
2011-11-01,3.32,3.33,3.32,3.33,38.7771206,91.84665891950002
